title,year,ratings
224. The Best Years of Our Lives,"1946,2h 50m,Approved,8.1, (,70K,),Rate","8.1, (,70K,),Rate"
225. La haine,"1995,1h 38m,Not Rated,8.1, (,193K,),Rate","8.1, (,193K,),Rate"
226. Rush,"2013,2h 3m,R,8.1, (,508K,),Rate","8.1, (,508K,),Rate"
227. The Exorcist,"1973,2h 2m,R,8.1, (,450K,),Rate","8.1, (,450K,),Rate"
228. Network,"1976,2h 1m,R,8.1, (,169K,),Rate","8.1, (,169K,),Rate"
229. Pirates of the Caribbean: The Curse of the Black Pearl,"2003,2h 23m,PG-13,8.1, (,1.2M,),Rate","8.1, (,1.2M,),Rate"
230. Stand by Me,"1986,1h 29m,R,8.1, (,437K,),Rate","8.1, (,437K,),Rate"
231. The Wizard of Oz,"1939,1h 42m,G,8.1, (,425K,),Rate","8.1, (,425K,),Rate"
232. The Incredibles,"2004,1h 55m,PG,8.0, (,799K,),Rate","8.0, (,799K,),Rate"
233. Into the Wild,"2007,2h 28m,R,8.1, (,653K,),Rate","8.1, (,653K,),Rate"
234. Hachi: A Dog's Tale,"2009,1h 33m,G,8.1, (,308K,),Rate","8.1, (,308K,),Rate"
235. The Handmaiden,"2016,2h 25m,Not Rated,8.1, (,169K,),Rate","8.1, (,169K,),Rate"
236. My Father and My Son,"2005,1h 52m,Not Rated,8.2, (,92K,),Rate","8.2, (,92K,),Rate"
237. To Be or Not to Be,"1942,1h 39m,Passed,8.1, (,42K,),Rate","8.1, (,42K,),Rate"
238. Groundhog Day,"1993,1h 41m,PG,8.0, (,678K,),Rate","8.0, (,678K,),Rate"
239. The Grapes of Wrath,"1940,2h 9m,Passed,8.1, (,99K,),Rate","8.1, (,99K,),Rate"
240. The Battle of Algiers,"1966,2h 1m,Not Rated,8.1, (,65K,),Rate","8.1, (,65K,),Rate"
241. The Sound of Music,"1965,2h 52m,G,8.1, (,258K,),Rate","8.1, (,258K,),Rate"
242. Amores Perros,"2000,2h 34m,R,8.1, (,251K,),Rate","8.1, (,251K,),Rate"
243. Rebecca,"1940,2h 10m,Approved,8.1, (,145K,),Rate","8.1, (,145K,),Rate"
244. Cool Hand Luke,"1967,2h 7m,GP,8.1, (,187K,),Rate","8.1, (,187K,),Rate"
245. The Iron Giant,"1999,1h 26m,PG,8.1, (,224K,),Rate","8.1, (,224K,),Rate"
246. The Help,"2011,2h 26m,PG-13,8.1, (,488K,),Rate","8.1, (,488K,),Rate"
247. It Happened One Night,"1934,1h 45m,Passed,8.1, (,111K,),Rate","8.1, (,111K,),Rate"
248. The 400 Blows,"1959,1h 39m,Not Rated,8.1, (,127K,),Rate","8.1, (,127K,),Rate"
249. Aladdin,"1992,1h 30m,G,8.0, (,461K,),Rate","8.0, (,461K,),Rate"
250. Gangs of Wasseypur,"2012,5h 21m,Not Rated,8.2, (,103K,),Rate","8.2, (,103K,),Rate"
,,
,,
,,
